Family,Genus,Species,Sci_Name,Type,Subtype,Common_Name,Feeding,Targeted
Atherinopsidae,Atherinops,affinis,Atherinops affinis,Fish,Silverside,Topsmelt,microcarnivore,Targeted
Atherinopsidae,Atherinops,spp,Atherinops spp,Fish,Silverside,Unknown Silverside,microcarnivore,Targeted
Aulorhynchidae,Aulorhynchus,flavidus,Aulorhynchus flavidus,Fish,Tubesnout,Tube-snout,planktivore,Nontargeted
Belonidae,Strongylura,exilis,Strongylura exilis,Fish,Needlefish,Californian Needlefish,piscivore,Nontargeted
Blepharipodidae,Blepharipoda,occidentalis,Blepharipoda occidentalis,Invertebrate,Sandcrab,Spiny Sand Crab,planktivore,Nontargeted
Cancridae,Metacarcinus,gracilis,Metacarcinus gracilis,Invertebrate,Crab,Slender Crab,microcarnivore,Targeted
Cancridae,Metacarcinus,magister,Metacarcinus magister,Invertebrate,Crab,Dungeness Crab,microcarnivore,Targeted
Cancridae,Metacarcinus,productus,Metacarcinus productus,Invertebrate,Crab,Red Rock Crab,microcarnivore,Targeted
Cancridae,Metacarcinus,spp,Metacarcinus spp,Invertebrate,Crab,Unknown Crab,microcarnivore,Targeted
Clinidae,Gibbonsia,montereyensis,Gibbonsia montereyensis,Fish,Blennies,Crevice kelpfish,microcarnivore,Nontargeted
Clupeidae,Sardinops,sagax,Sardinops sagax,Fish,Anchovies,Pacific Sardine,planktivore,Targeted
Clupeidae,Sardinops,spp,Sardinops spp,Fish,Anchovies,Unknown Sardine,planktivore,Targeted
Cottidae,Leptocottus,armatus,Leptocottus armatus,Fish,Sculpin,Pacific Staghorn Sculpin,microcarnivore,Nontargeted
Cottidae,.,spp,NA,Fish,Sculpin,Unknown Sculpin,microcarnivore,Nontargeted
Cottidae,Scorpaenichthys,marmoratus,Scorpaenichthys marmoratus,Fish,Sculpin,Cabezon,macrocarnivore,Targeted
Embiotocidae,Amphistichus,argenteus,Amphistichus argenteus,Fish,Surfperch,Barred Surfperch,macrocarnivore,Targeted
Embiotocidae,Amphistichus,koelzi,Amphistichus koelzi,Fish,Surfperch,Calico Surfperch,macrocarnivore,Targeted
Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,Fish,Surfperch,Kelp Perch,microcarnivore,Nontargeted
Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,Fish,Surfperch,Shiner Perch,microcarnivore,Targeted
Embiotocidae,Embiotoca,jacksoni,Embiotoca jacksoni,Fish,Surfperch,Black Perch,macrocarnivore,Targeted
Embiotocidae,Embiotoca,lateralis,Embiotoca lateralis,Fish,Surfperch,Striped Surfperch,macrocarnivore,Targeted
Embiotocidae,Hyperprosopon,anale,Hyperprosopon anale,Fish,Surfperch,Spotfin Surfperch,microcarnivore,Targeted
Embiotocidae,Hyperprosopon,argenteum,Hyperprosopon argenteum,Fish,Surfperch,Walleye Surfperch,macrocarnivore,Targeted
Embiotocidae,Hyperprosopon,ellipticum,Hyperprosopon ellipticum,Fish,Surfperch,Silver Surfperch,macrocarnivore,Targeted
Embiotocidae,Hypsurus,caryi,Hypsurus caryi,Fish,Surfperch,Rainbow Seaperch,macrocarnivore,Targeted
Embiotocidae,Micrometrus,aurora,Micrometrus aurora,Fish,Surfperch,Reef Perch,microcarnivore,Nontargeted
