Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,Year,Month,Day,Site,BRUV,Visibility,Habitat,Family,Genus,Species,Code,MaxN,Has fed,Periods,Sci_Name_Full,Sci_Name_Abbr,Date,Analysis_Month,Sci_Name,Type,Subtype,Common_Name,Feeding,Targeted
GH022931.MP4,19418,23.0336,CARM_11JUL20_bruv1_0003,3.0336,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Cancridae,Metacarcinus,gracilis,81,1,No,12,Metacarcinus gracilis,M. gracilis,7/11/2020,Jul,Metacarcinus gracilis,Invertebrate,Crab,Slender Crab,carnivore,Targeted
GH022931.MP4,26839,25.097,CARM_11JUL20_bruv1_0004,0.097,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Cancridae,Metacarcinus,gracilis,81,1,No,12,Metacarcinus gracilis,M. gracilis,7/11/2020,Jul,Metacarcinus gracilis,Invertebrate,Crab,Slender Crab,carnivore,Targeted
GH032931.MP4,56469,50.9701,CARM_11JUL20_bruv1_0009,0.9699,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Cancridae,Metacarcinus,gracilis,81,1,Yes,12,Metacarcinus gracilis,M. gracilis,7/11/2020,Jul,Metacarcinus gracilis,Invertebrate,Crab,Slender Crab,carnivore,Targeted
GH042931.MP4,27247,60.479,CARM_11JUL20_bruv1_0011,0.4788,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Cancridae,Metacarcinus,gracilis,81,1,Yes,12,Metacarcinus gracilis,M. gracilis,7/11/2020,Jul,Metacarcinus gracilis,Invertebrate,Crab,Slender Crab,carnivore,Targeted
GH042931.MP4,43887,65.1059,CARM_11JUL20_bruv1_0012,0.1057,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Cancridae,Metacarcinus,gracilis,81,1,No,12,Metacarcinus gracilis,M. gracilis,7/11/2020,Jul,Metacarcinus gracilis,Invertebrate,Crab,Slender Crab,carnivore,Targeted
GH012931.MP4,36939,10.2711,CARM_11JUL20_bruv1_0001,0.2711,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Olividae,Callianax,biplicata,9,4,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
GH012931.MP4,53968,15.0061,CARM_11JUL20_bruv1_0002,0.0061,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Olividae,Callianax,biplicata,9,10,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
GH022931.MP4,8533,20.0069,CARM_11JUL20_bruv1_0003,0.007,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Olividae,Callianax,biplicata,9,8,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
GH022931.MP4,26839,25.097,CARM_11JUL20_bruv1_0004,0.097,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Olividae,Callianax,biplicata,9,5,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
GH022931.MP4,44661,30.0525,CARM_11JUL20_bruv1_0005,0.0526,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Olividae,Callianax,biplicata,9,7,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
